"Group","Question","A1","A2","A3","Answer_ID","Plot","Link"
2,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 made in person for "Trinkwasser-Initiative"?","28.8%","50.3%","35.6%",3,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 for "Covid-19-Gesetz"?","30.9%","33.6%","26%",1,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 in Basel for "CO2-Gesetz"?","68%","40.6%","59.4%",1,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 in Bettingen for "CO2-Gesetz"?","52.8%","59.4%","47.2%",3,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Riehen for "Initiative Pestizidverbot"?","47.2%","56.1%","57%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 in Bettingen for "Terrorismus-Gesetz"?","59.4%","30.9%","57%",3,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 for "Mindestlohn-Initiative" und Gegenvorschlag?","66.4%","49.9%","68%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Auslandschweizer for "CO2-Gesetz"?","26%","57.3%","59.4%",1,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Mindestlohn-Initiative" und Gegenvorschlag?","66%","63.3%","48.2%",3,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Bettingen for "Initiative Pestizidverbot"?","69.3%","57.3%","57%",1,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Trinkwasser-Initiative"?","41.7%","60.8%","31.1%",1,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Riehen for "Covid-19-Gesetz"?","45.1%","33.5%","39.2%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Covid-19-Gesetz"?","31.1%","58.3%","45.6%",1,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 in Bettingen for "Trinkwasser-Initiative"?","30.9%","33.6%","66.6%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Terrorismus-Gesetz"?","45.6%","31.1%","68.9%",1,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Basel for "Initiative Pestizidverbot"?","60.8%","40.6%","42.7%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Riehen for "Terrorismus-Gesetz"?","30.7%","47.1%","43%",3,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Auslandschweizer for "Covid-19-Gesetz"?","43%","25.2%","45.1%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Riehen for "Mindestlohn-Initiative" und Gegenvorschlag?","43%","69.1%","66.2%",3,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Covid-19-Gesetz"?","60.8%","63.3%","68.9%",3,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made in person for "Covid-19-Gesetz"?","71.2%","35.6%","41%",1,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 made in person for "Initiative Pestizidverbot"?","63.3%","31.1%","36.7%",3,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 in Auslandschweizer for "Trinkwasser-Initiative"?","58.8%","60.8%","52.6%",2,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made in person for "Initiative Pestizidverbot"?","68.9%","64.4%","63.3%",3,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
2,"What is the share of 'Yes' votes in Kanton-Basel Stadt 13. June 2021 made by post for "Initiative Pestizidverbot"?","63.3%","56.6%","34%",2,"Politics_2.png","https://data.bs.ch/explore/dataset/100144/table/"
1,"What is the share of 'No' votes in Kanton-Basel Stadt 13. June 2021 in Basel for "CO2-Gesetz"?","40.6%","68%","32%",3,"Politics_1.png","https://data.bs.ch/explore/dataset/100144/table/"
